"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Accredited","Yes (Jun 2018)","0","4","","4","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","Suppressed","","","","","","","","Mackenzie, BC V0J 2C0","","Suppressed","","Suppressed","Health Service Administrator","No Councils","English","","13 Apr 2012","Mackenzie and District Hospital and Health Centre","No","Operator","Info not available","Info not available","Northern Health","1.0","Suppressed","Suppressed","1.5","Suppressed","Suppressed","0.7","Suppressed","Suppressed","11.9","Suppressed","Suppressed","0.1","Suppressed","Suppressed","0.2","Suppressed","Suppressed","1.6","Suppressed","Suppressed","1.6","Suppressed","Suppressed","","No Meetings","2009","Northern Health","Yes","(250) 997-3263","(250) 997-8500","","Routine","Hospital Act","0","4","0"," ","Yes","No","No","45 Centennial Drive","Info not available","Yes (no fee)"
"N/A","No","41","96","","137","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.1%","47.8%","Info not available","1.3%","3.4%","24.5%","22.2%","","","","","","","","Coquitlam, BC V3J 2N1","","0","","0","Administrator / Director of Care","Separate Resident and Family Councils","Tagalog, Romanian, Spanish, Russian, English, Punjabi, Mandarin, Cantonese","","2 May 2016","Madison Care Centre","Yes","Operator","0.16","2.64","Fraser Health","1.0","0.0","0","1.5","0.7","1","0.7","0.0","0","11.9","5.8","8","0.1","0.0","0","0.2","0.0","0","1.6","1.5","2","1.6","1.5","2","","Regular Schedule","Info not available","Dunblane Estates Partnership Ltd","Yes","(604) 936-9231","(604) 936-9231 ext 5","","Routine","Hospital Act","0","128","9","Clothing labelling fee, hairdresser, pharmacy","No","No","No","1399 Foster Avenue","2.80","Yes (no fee)"
"N/A","No","34","135","","169","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.3%","49.5%","1.2%","2.2%","0.4%","14.6%","26.2%","","","","","","","","Nanaimo, BC V9R 2G9","","4","","1","General Manager","Separate Resident and Family","English, Filipino, French, Punjabi, Dutch","","22 Sep 2016","Malaspina Gardens","Yes","Outside Contractor","Info not available","Info not available","Vancouver Island","1.0","0.6","1","1.5","0.6","1","0.7","0.0","0","11.9","10.1","17","0.1","0.0","0","0.2","0.0","0","1.6","0.6","1","1.6","0.0","0","","Regular Schedule","1979","Chartwell Retirement Homes","Yes","(250) 745-7711","(250) 754-7711 ext 23","","Follow-up","Community Care and Assisted Living Act","0","103","16"," ","No","No","No","388 Machleary Street","3.11","Yes (no fee)"
"Accredited","Yes (Feb 2018)","0","90","","90","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.7%","38.6%","Info not available","19.9%","7.2%","4.5%","23.4%","","","","","","","","Maple Ridge, BC V2X 2Y7","","1","","0","Director of Care","Separate Resident and Family","Indo-Canadian, English, French, Italian, Portuguese, Spanish, Filipino dialects, German","","10 Aug 2016","Maple Ridge Seniors Village","Yes","Operator","0.24","2.65","Fraser Health","1.0","3.3","3","1.5","0.0","0","0.7","1.1","1","11.9","24.4","22","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.1","1","","Regular Schedule","2009","Retirement Concepts","Yes","(604) 466-3053","(604) 476-4312","","Routine","Community Care and Assisted Living Act","0","108","0"," ","No","No","No","22141 - 119th Avenue","2.89","Yes (no fee)"
"N/A","Yes (2018)","2","76","","78","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.7%","48.5%","Info not available","0.4%","61.9%","12.4%","32.2%","","","","","","","","Abbotsford, BC V2S 2Z8","","0","","0","Director of Resident Services","Resident only","English, Punjabi, Various Languages","","08 Nov 2016","Maplewood House","Yes","Operator","0.31","2.48","Fraser Health","1.0","0.0","0","1.5","2.5","2","0.7","0.0","0","11.9","11.4","9","0.1","0.0","0","0.2","0.0","0","1.6","2.5","2","1.6","1.3","1","","Regular Schedule","1989","Maplewood Seniors Care Society","Yes","(604) 853-5585","(604) 870-7560","","Routine","Community Care and Assisted Living Act","0","78","0"," ","No","No","No","1919 Jackson St.","2.79","Yes (no fee)"
"Exemplary","Yes (Jun 2018)","5","104","","109","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.9%","45.9%","0.2%","2.6%","21.2%","5.8%","32.3%","","","","","","","","Osoyoos, BC V0H 1V5","","7","","3","General Manager","Separate and Combined Resident and Family Councils","English, Portuguese, Punjabi","","31 Oct 2016","Mariposa Gardens","Yes","Operator","0.35","2.80","Interior Health","1.0","1.8","2","1.5","0.0","0","0.7","0.0","0","11.9","13.8","15","0.1","0.0","0","0.2","0.0","0","1.6","0.9","1","1.6","5.5","6","","Regular Schedule","2008","Baltic Properties Ltd.","Yes","(250) 495-8124","(250) 495-8124 ext 102","","Monitoring","Community Care and Assisted Living Act","0","97","6"," ","No","No","No","8816 97th St. (Hwy 97)","3.15","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","8","","8","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","15.6%","47.3%","Info not available","6.7%","Info not available","75.5%","20.0%","","","","","","","","McBride, BC V0J 2E0","","Info not available","","Info not a vailable","Patient Care Manager","Info not available","English, Hungarian, Ukranian","","22 Mar 2012","McBride and District Hospital","Info not available","Info not available","","Info not availableInfo not available","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Info not available","2001","Northern Health","Yes","(250) 569-2251","(250) 569-7326","","Routine","Hospital Act","0","7","1"," ","N/A","N/A","N/A","1136 5th Avenue","Info not available","Yes (no fee)"
"Accredited","Yes","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","31.4%","33.7%","2.4%","2.8%","12.0%","1.1%","13.5%","","","","","","","","Oliver, BC V0H 1T0","","0","","0","Manager","Separate and Combined Resident and Family Councils","English, French, German, Hindi","","15 Nov 2016","McKinney Place – South Okanagan General Hospital","Yes","Operator","0.37","2.87","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","1.3","1","11.9","17.3","13","0.1","0.0","0","0.2","1.3","1","1.6","1.3","1","1.6","0.0","0","","Regular Schedule","1980","Interior Health","Yes","(250) 498-5040","(250) 485-8477","","Monitoring","Hospital Act","15","7","4"," ","No","No","No","911 McKinney Road","3.24","Yes (no fee)"
"Exemplary","Yes (Oct 2018)","0","196","","196","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.3%","61.7%","0.4%","7.2%","88.3%","4.3%","28.6%","","","","","","","","Abbotsford, BC V2S 1N2","","2","","1","Karen L Baillie, CEO or Hilde Wiebe, Executive Director of Care Services","Separate Resident and Family","English","","05 Jan 2016","Menno Home","Yes","Operator","0.31","2.48","Fraser Health","1.0","0.5","1","1.5","0.0","0","0.7","4.1","8","11.9","10.7","21","0.1","0.0","0","0.2","0.0","0","1.6","1.0","2","1.6","0.5","1","","Regular Schedule","1954","Mennonite Benevolent Society","Yes","(604) 853 -2411","(604) 859-7631","","Routine","Community Care and Assisted Living Act","0","186","5","Minor 3rd party billing fees","No","No","No","32910 Brundige Ave","2.79","Yes (fee charged)"
"Exemplary","Yes (Oct 2018)","0","151","","151","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.2%","51.7%","0.7%","3.4%","65.0%","10.4%","35.5%","","","","","","","","Abbotsford, BC V2S 1K1","","3","","1","Karen L Baillie, CEO or Hilde Wiebe, Executive Director of Care Services","Separate Resident and Family/Friends Councils","English","","13 May 2016","Menno Hospital","Yes","Operator","0.38","2.99","Fraser Health","1.0","1.3","2","1.5","0.7","1","0.7","0.0","0","11.9","7.9","12","0.1","0.0","0","0.2","0.0","0","1.6","3.3","5","1.6","0.0","0","","Regular Schedule","1960","Mennonite Benevolent Society","Yes","(604) 859-7631","(604) 859-7631","","Follow-up","Hospital Act","2","59","43"," ","No","No","No","32945 Marshall Road","3.37","Yes (fee charged)"
"Accredited","Yes (Sep 2020)","0","250","","250","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.0%","37.3%","25.0%","34.8%","24.7%","2.6%","32.7%","","","","","","","","Richmond, BC V6Y 1Y4","","Info not available","","Info not available","Manager","Separate Resident and Family Councils","English, German, Punjabi, Hindi, Cantonese, Mandarin, Tagalog, Russian, French, Japanese, Polish, Gujarati","","25 Jul 2016","Minoru Residence","Yes","Outside Contractor","0.27","2.92","Vancouver Coastal","1.0","0.8","2","1.5","0.0","0","0.7","0.0","0","11.9","1.6","4","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1980","Vancouver Coastal Health","Yes","(604) 244-5300","(604) 244-5307","","Routine","Hospital Act","0","70","90"," ","No","No","No","7333 Gollner Avenue","3.19","Yes (fee charged)"
"Primer","Yes (Jan 2017)","0","46","","46","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","50.0%","68.8%","0.5%","16.2%","11.3%","33.2%","29.2%","","","","","","","","Lumby, BC V0E 2G5","","0","","0","Community Administrator","Separate and Combined Resident and Family Councils","English","","17 Aug 2016","Monashee Mews","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","2.2","1","0.7","0.0","0","11.9","17.4","8","0.1","0.0","0","0.2","0.0","0","1.6","4.3","2","1.6","6.5","3","","Regular Schedule","2013","inSite Housing, Hospitality and Health Services Inc.","Yes","(778) 473-0100","(778) 473-0100","","Monitoring","Community Care and Assisted Living Act","0","46","0"," ","No","No","No","2165 Norris Avenue","3.15","Yes (no fee)"
"Exemplary","Yes (2017)","13","128","","141","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.3%","57.7%","5.6%","37.8%","67.0%","19.3%","16.4%","","","","","","","","Surrey, BC V3S 9T1","","2","","0","Quality Assurance Coordinator","Separate Resident and Family","Punjabi, Spanish, Korean, Filipino, English, Cantonese, Mandarin","","14 Jun 2016","Morgan Place","Yes","Outside Contractor","0.31","2.48","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","2.8","4","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Ahmon Group","Yes","(604) 535-7328","(604) 535-7328","","Routine","Community Care and Assisted Living Act","0","111","5"," ","No","Yes","No","3288 156a St","2.79","Yes (no fee)"
"Commendation","Yes (Sep 2015)","0","44","","44","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.4%","51.5%","Info not available","0.6%","60.9%","5.3%","31.3%","","","","","","","","Revelstoke, BC V0E 2S1","","0","","0","Manager","Separate and Combined Resident and Family Councils","English, translators available","","28 Sep 2016","Mount Cartier Court (Queen Victoria Hospital)","Yes","Operator","0.39","3.06","Interior Health","1.0","2.3","1","1.5","0.0","0","0.7","2.3","1","11.9","9.1","4","0.1","0.0","0","0.2","0.0","0","1.6","2.3","1","1.6","2.3","1","","Regular Schedule","2006","Interior Health","Yes","(250) 837-2131","(250) 814-2224","","Monitoring","Community Care and Assisted Living Act","0","38","6","Clothing labeling, ID bracelet","No","No","No","1200 Newlands Rd","3.45","Yes (no fee)"
"Info not available","Info not available","1","71","","72","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.0%","50.0%","4.9%","33.9%","45.8%","24.5%","33.4%","","","","","","","","Salmon Arm, BC V1E 4H4","","2","","0","Info not available","Info not available","Info not available","","07 Mar 2016","Mount Ida Mews","Info not available","Info not available","0.35","2.80","Interior Health","1.0","0.0","0","1.5","2.8","2","0.7","0.0","0","11.9","27.8","20","0.1","1.4","1","0.2","0.0","0","1.6","0.0","0","1.6","8.3","6","","Info not available","2012","InSite Housing and Hospitality and Health Services Inc.","Info not available","(778) 484-5415","Info not available","","Monitoring","Community Care and Assisted Living Act","Info not available","Info not available","Info not available"," ","N/A","N/A","N/A","100 5th Avenue","3.15","Info not available"
"Exemplary","Yes (Nov 2016)","0","99","","99","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.1%","33.5%","76.3%","72.5%","8.0%","1.6%","12.5%","","","","","","","","Vancouver, BC V5T 3N4","","Info not available","","Info not available","Clinical Nurse Leader / Social Worker / Operations Leader/Resident Relation Leader","Resident and Combined Resident and Family Councils","English, Tagalog, Punjabi, Hindi, Cantonese, Mandarin, Polish","","10 Mar 2016","Mount St Joseph Hospital","Yes","Outside Contractor","0.28","2.88","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","6.1","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2004","Providence Health Care","Yes","(604) 874-1141","(604) 877-8520 / (604) 877-8541 / (604) 877-8542 / (604) 806-8264","","Follow-up","Hospital Act","17","16","8","Haircuts, podiatry","No","No","No","3080 Prince Edward","3.16","Yes (fee charged)"
"Exemplary","Yes (Dec 2016)","0","200","","200","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","26.9%","58.3%","64.6%","0.6%","13.4%","1.9%","23.4%","","","","","","","","Victoria, BC V8V 5A9","Info not available","","Info not available","","Director of Care","Combined Resident and Family Councils","German, Cantonese, French, Filipino, Polish, Cantonese, Spanish, Croatian, Japanese","15 Mar 2016","","Mount St. Mary Hospital","Yes","Operator","Info not available","Info not available","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","4","Regular Schedule","2003","Marie Esther Society","Yes","(250) 480-3103","(250) 480-3111","Routine","","Hospital Act","0","184","8","Monthly admin fee","No","Yes","No","861 Fairfield Rd.","3.26","Yes (no fee)"
"Accredited","Yes (May 2018)","7","85","","92","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","19.6%","50.8%","Info not available","28.2%","Info not available","Info not available","19.5%","","","","","","","","Nelson, BC V1L 7A6","","0","","0","Program Manager / Community Administrator","Separate and Combined Resident and Family Councils","English","","14 Mar 2016","Mountain Lake Seniors’ Community Ltd.","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","1.1","1","0.7","0.0","0","11.9","10.9","10","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2005","Park Place Seniors Living Inc.","Yes","(250) 352-2600","(250) 352-2600 ext 126 / (250) 352-2600 ext 103","","Follow-up","Community Care and Assisted Living Act","0","92","0"," ","No","No","No","908 11th St","3.15","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","22","","22","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","35.6%","56.3%","Info not available","30.8%","3.4%","3.3%","20.7%","","","","","","","","Lillooet, BC V0K 1V0","","0","","0","Resident Care Coordinator","Combined Resident and Family Council","English","","18 May 2016","Mountain View Lodge (Lillooet Hosp HCtr)","No","Operator","0.45","2.90","Interior Health","1.0","0.0","0","1.5","4.5","1","0.7","4.5","1","11.9","18.2","4","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1980","Interior Health","Yes","(250) 256-1312","(250) 256-1346","","Monitoring","Community Care and Assisted Living Act","0","20","1"," ","No","No","No","951 Murray St. Box 249","3.35","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","92","","92","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","11.1%","43.2%","3.1%","23.0%","82.0%","12.5%","26.1%","","","","","","","","Delta, BC V4K 3V6","","0","","0","Manager / Resident Care Coordinator","Separate Resident and Family","Portuguese, English, Italian, Mandarin, Cantonese, Punjabi, German, Dutch, Tagalog","","20 Jun 2016","Mountain View Manor at Delta Hospital","Yes","Operator","0.37","3.12","Fraser Health","1.0","1.1","1","1.5","0.0","0","0.7","0.0","0","11.9","4.3","4","0.1","0.0","0","0.2","0.0","0","1.6","1.1","1","1.6","0.0","0","","Regular Schedule","Info not available","Fraser Health","Yes","(604) 946-1121","(604) 946-1121 ext 783299","","Monitoring","Hospital Act","18","12","4"," ","Yes","Yes","Yes","5800 Mountainview","3.49","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","36","","36","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","44.6%","52.3%","Info not available","1.2%","3.3%","9.7%","36.0%","","","","","","","","Kitimat, BC V8C 2S3","","Info not available","","Info not available","Linda Tendland – Care Coordinator","Separate and Combined Resident and Family Councils","English, Portuguese, Tagalog, Punjabi","","12 Sep 2016","Mountainview Lodge – Kitimat General Hospital","No","Operator","Info not available","2.94","Northern Health","1.0","11.1","4","1.5","0.0","0","0.7","2.8","1","11.9","2.8","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2002","Northern Health","Yes","(250) 632-8357","(250) 632-8337","","Follow-up","Hospital Act","0","32","2","Clothing labelling fee","No","Yes","No","920 Lahakas Blvd.","3.10","Yes (no fee)"
"Commendation","Yes (Nov 2020)","0","90","","90","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.5%","54.1%","1.1%","3.6%","9.8%","13.2%","30.4%","","","","","","","","Kelowna, BC V1W 3P6","","9","","3","Site Manager","Combined Resident and Family","English, Filipino","","20 Oct 2016","Mountainview Village","Yes","Operator","0.35","2.80","Interior Health","1.0","5.6","5","1.5","1.1","1","0.7","0.0","0","11.9","12.2","11","0.1","1.1","1","0.2","1.1","1","1.6","5.6","5","1.6","2.2","2","","Regular Schedule","2007","The Good Samaritan Society","Yes","(250) 762-2192","(250) 717-4022","","Routine","Community Care and Assisted Living Act","0","90","0"," ","No","No","No","1540 K.L.O. Road","3.15","Yes (no fee)"
"N/A","Yes (2018)","0","34","","34","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.7%","64.0%","4.1%","8.5%","75.6%","Info not available","42.2%","","","","","","","","Abbotsford, BC V2T 3N9","","1","","1","Director of Resident Services","Resident only","English, Punjabi, Various Languages","","04 Oct 2016","MSA Manor","Yes","Operator","0.29","2.43","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","17.6","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1973","The Good Samaritan Society","Yes","(604) 853-5831","(604) 870-7560","","Routine","Community Care and Assisted Living Act","0","34","0"," ","No","No","No","2510 Gladwin Rd","2.72","Yes (no fee)"
"Accredited","Yes (Apr 2018)","0","72","","72","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.0%","43.8%","28.7%","Info not available","43.2%","1.4%","22.1%","","","","","","","","Victoria, BC V8P 4R6","Info not available","","Info not available","","Manager","Separate and Combined Resident and Family Councils","Tagalog, Hindi, Punjabi, English, Croatian, French","04 Oct 2016","","Mt Tolmie Hospital","No","Outside Contractor","0.28","2.90","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","1","Regular Schedule","1964","Vancouver Island Health","Yes","(250) 370-5757","(250) 370-5751","Routine","","Hospital Act","9","8","14"," ","No","No","No","3690 Richmond Rd.","3.18","Yes (no fee)"
"Accredited","Yes (Feb 2018)","20","130","","150","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","24.7%","44.0%","0.7%","1.3%","2.0%","11.9%","30.8%","","","","","","","","Nanaimo, BC V9V 1T8","","9","","5","Director of Care","Separate Resident and Family","English, Filipino, Hindi, Taiwanese, Tagalog, German, Ukrainian, French, Mandarin","","25 Nov 2016","Nanaimo Seniors Village","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.7","1","1.5","12.0","18","0.7","0.0","0","11.9","20.0","30","0.1","0.0","0","0.2","0.0","0","1.6","6.0","9","1.6","0.0","0","","Regular Schedule","2001","Retirement Concepts","Yes","(250) 729-9524","(250) 760-2307","","Routine","Community Care and Assisted Living Act","0","150","0","Clothing labelling fee","No","No","No","6085 Uplands Drive","3.11","Yes (no fee)"
"Commendation","Yes (May 2019)","0","90","","90","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.2%","54.7%","Info not available","0.8%","0.3%","20.7%","45.6%","","","","","","","","Nanaimo, BC V9S 2K5","","N/A","","N/A","Director of Care / Finance Administrator","Separate Resident and Family","English, French, Tagalog, Punjabi, Korean, Spanish, Cantonese, Japanese, German","","30 Sep 2016","Nanaimo Traveller’s Lodge","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","18.9","17","0.7","1.1","1","11.9","14.4","13","0.1","0.0","0","0.2","0.0","0","1.6","2.2","2","1.6","0.0","0","","Regular Schedule","1964","Nanaimo Travellers Lodge Society","Yes","(250) 758-4676","(250) 760-2630 / (250) 760-2644","","Routine","Community Care and Assisted Living Act","0","90","0","Clothing labelling fee","No","Yes","No","1298 Nelson St","3.11","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","40","","40","24.6%","47.8%","9.4%","13.6%","25.2%","11%","31%","","","","","","","","17.4%","45.4%","7.5%","10.7%","Info not available","9.0%","15.5%","","","","","","","","Nelson, BC V1L 6G9","","0","","0","Manager / Care Coordinator","Separate and Combined Resident and Family Councils","Russian, Ukrainian, Tagalog, Mandarin, French","","03 Feb 2016","Nelson Jubilee Manor","Yes","Operator","0.35","2.84","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","5.0","2","11.9","5.0","2","0.1","0.0","0","0.2","0.0","0","1.6","2.5","1","1.6","0.0","0","","Regular Schedule","1979","Interior Health","Yes","(250) 352-7011","(250) 352-7011 ext 35 / (250) 352-7011 ext 34","","Monitoring","Community Care and Assisted Living Act","0","39","0"," ","No","No","No","500 West Beasley St","3.19","Yes (no fee)"
"Accredited","Yes (May 2018)","2","86","","88","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.9%","58.4%","Info not available","6.4%","14.0%","21.2%","34.0%","","","","","","","","Campbell River, BC V9W 4H4","","8","","4","Site Leader / Director of Care","Separate and Combined Resident and Family Councils","English, French, Spanish, Filipino, Punjabi, Indonesian, Bosnian, German, Italian","","09 Sep 2016","New Horizons Community of Care","Yes","Outside Contractor","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","3.4","3","0.7","0.0","0","11.9","20.5","18","0.1","0.0","0","0.2","0.0","0","1.6","1.1","1","1.6","0.0","0","","Regular Schedule","2008","New Horizons Care Centre Partnership","Yes","(250) 287-7166","(250) 287-7166 ext 228","","Complaint","Community Care and Assisted Living Act","0","90","4"," ","No","Yes","No","850 14th Avenue","3.15","Yes (no fee)"
"Commendation","Yes (Oct 2017)","0","236","","236","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.3%","50.6%","Info not available","1.3%","1.8%","11.2%","29.8%","","","","","","","","Burnaby, BC V5E 3Z3","","4","","0","Manager - Executive Services","Separate Resident and Family","English, Cantonese, Tagalog, Polish, Russian, Romanian, Punjabi, Hindi, French, German, Hungarian, Japanese","","21 Oct 2016","New Vista Care Home","Yes","Operator","0.31","2.41","Fraser Health","1.0","0.0","0","1.5","3.4","8","0.7","0.0","0","11.9","11.4","27","0.1","0.0","0","0.2","0.0","0","1.6","1.3","3","1.6","1.3","3","","Regular Schedule","Info not available","New Vista Society","Yes","(604) 521-7764","(604) 521-7765 ext 1155","","Follow-up","Community Care and Assisted Living Act","0","236","0"," ","No","No","No","7550 Rosewood Street","2.72","Yes (no fee)"
